"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"April 18, 2018","North Carolina",Asheville,"73 Hansel Ave",4,3,N/A
"April 18, 2018",Pennsylvania,Pittsburgh,"7900 block of Susquehanna St",0,1,N/A
"April 17, 2018",Indiana,"South Bend","1300 block of King St",0,1,N/A
"April 17, 2018",Virginia,Lynchburg,"3200 block of Forest Brook Rd",0,1,N/A
"April 17, 2018",California,Oakland,"8600 block of Bancroft Ave",0,1,N/A
"April 17, 2018",Georgia,Riverdale,"Brookview Dr",1,0,N/A
"April 17, 2018",Delaware,Harrington,"50 block of Clark St",0,1,N/A
"April 16, 2018",Kansas,Wichita,"800 block of N Battin St",0,1,N/A
"April 16, 2018",Georgia,"Union City","5700 block of Rock Rd",1,0,N/A
"April 16, 2018",Alabama,Mobile,"1200 block of Duval St",0,1,N/A
"April 16, 2018",Missouri,"Kansas City","Truman Road and Hardesty Ave",1,1,N/A
"April 15, 2018",Mississippi,Greenwood,N/A,0,1,N/A
"April 15, 2018","South Carolina",Sumter,"Peach St",1,0,N/A
"April 15, 2018",Indiana,"Fort Wayne","2700 block of Chestnut St",1,1,N/A
"April 15, 2018","North Carolina",Greensboro,"1316 Maple St",1,0,N/A
"April 15, 2018",Tennessee,Lebanon,"921 Murfreesboro Rd",2,0,N/A
"April 15, 2018",Texas,Houston,"6111 Glenmont Drk Dr",1,2,N/A
"April 15, 2018",Louisiana,"New Orleans","5900 block of Lafaye Street",0,1,N/A
"April 15, 2018",Tennessee,Memphis,"2536 N Watkins St",1,0,N/A
"April 15, 2018","Rhode Island",Pawtucket,"Main St and Lonsdale Ave",0,1,N/A
"April 15, 2018",Florida,"Glen Saint Mary","9368 S Co Rd 125",1,2,N/A
"April 15, 2018",Michigan,"Battle Creek","69 Merritt St",1,1,N/A
"April 15, 2018","District of Columbia",Washington,"5300 block of Bass Pl SE",0,1,N/A
"April 15, 2018",Louisiana,Shreveport,"6956 Jewella Ave",0,6,N/A
"April 14, 2018",Louisiana,"New Orleans","North Prieur St and Franklin Ave",2,1,N/A
"April 14, 2018",Texas,Dallas,"3500 block of Fordham Rd",1,1,N/A
"April 14, 2018",Texas,Spring,"1900 block of the N Fwy",0,1,N/A
"April 14, 2018",Tennessee,Nashville,"2000 block of Hermosa St",0,2,N/A
"April 14, 2018","North Carolina",Lumberton,"Roberts Ave",1,0,N/A
"April 14, 2018",Illinois,Chicago,"5200 block of W Harrison St",0,2,N/A
"April 13, 2018",Missouri,"Saint Louis","N 10th St and Manhattan Pl",0,1,N/A
"April 13, 2018",Virginia,Portsmouth,"2400 block of Airline Blvd",0,3,N/A
"April 13, 2018",Iowa,Marshalltown,"700 block of May St",0,2,N/A
"April 12, 2018",Pennsylvania,Harrisburg,"5th St and Schuylkill St",1,0,N/A
"April 12, 2018",Ohio,Cleveland,"Mount Hermon Ave and Jelliffe St",1,0,N/A
"April 12, 2018",Pennsylvania,Bethlehem,"1515 Irene St",0,1,N/A
"April 12, 2018",Missouri,"Saint Louis","5700 block of Roosevelt Pl",0,1,N/A
"April 11, 2018",Kansas,Wichita,"1500 block of E Arnold St",0,1,N/A
"April 11, 2018",Pennsylvania,"Mc Kees Rocks (Mckees Rocks)","1100 block of Island Ave",2,1,N/A
"April 10, 2018",Illinois,Chicago,"7400 block of S Wabash Ave",0,1,N/A
"April 10, 2018",Georgia,Covington,"350 Crestfield Cir",0,1,N/A
"April 9, 2018",Missouri,"Reeds Spring","28 Crown Drive",4,0,N/A
"April 9, 2018",Illinois,Chicago,"6400 block of S Laflin St",0,1,N/A
"April 9, 2018",Washington,"Seattle (Seatac)","19408 International Blvd",0,2,N/A
"April 9, 2018",Missouri,"Saint Louis","1100 block of E Taylor Ave",0,1,N/A
"April 9, 2018",Delaware,Wilmington,"1100 block of W 3rd St",0,1,N/A
"April 9, 2018","North Carolina","High Point","1220 Turtle Rock Way",1,0,N/A
"April 8, 2018",California,Bakersfield,"3817 Fambrough Dr",1,1,N/A
"April 8, 2018",Wisconsin,Milwaukee,"2400 block of S 20th St",0,1,N/A
"April 8, 2018","South Carolina",Smoaks,"8500 block of Augusta Hwy",2,0,N/A
"April 8, 2018",Michigan,Detroit,"Shiawassee St and 8 Mile Rd",0,1,N/A
"April 8, 2018",Missouri,"Saint Louis","3800 block of S Compton Ave",0,1,N/A
"April 8, 2018",Florida,Miami,"1300 block of NW 63rd Terrace",2,2,N/A
"April 7, 2018",Illinois,Chicago,"5100 block of W Huron",1,1,N/A
"April 7, 2018",California,Richmond,"20th St and MacDonald Ave",0,3,N/A
"April 7, 2018","District of Columbia",Washington,"4700 block of Southern Ave SE",0,1,N/A
"April 7, 2018",Ohio,Toledo,"3200 block of Stickney Ave",0,1,N/A
"April 7, 2018",Ohio,Columbus,"1700 block of Willoway Circle S",0,2,N/A
"April 7, 2018",Pennsylvania,Pittsburgh,"Hillsboro St and Chartiers Ave",0,1,N/A
"April 7, 2018",Oklahoma,Jay,"18945 E 420 Road",1,0,N/A
"April 6, 2018","District of Columbia",Washington,"707 7th St NW",0,1,N/A
"April 6, 2018",Virginia,Norfolk,"2500 block of Leo St",0,1,N/A
"April 6, 2018",Mississippi,Natchez,"Winola Drive",1,0,N/A
"April 6, 2018",Tennessee,Nashville,"2320 2 Rivers Pkwy",0,1,N/A
"April 6, 2018",Ohio,Akron,"134 E Tallmadge Rd",0,2,N/A
"April 5, 2018",Georgia,Dawsonville,"72 Bryn Drive",3,1,N/A
"April 5, 2018",Oklahoma,Davis,"Airport Rd",0,2,N/A
"April 5, 2018",Ohio,Cleveland,"E 59th St and Woodland Ave",0,1,N/A
"April 5, 2018",Pennsylvania,"New Kensington (Arnold)","1600 block of Leishman Ave",0,1,N/A
"April 5, 2018",Pennsylvania,Philadelphia,"Angora Terrace and S 57th St",0,2,N/A
"April 4, 2018","South Carolina",Greenwood,"Tennessee Ct",1,0,N/A
"April 4, 2018",Missouri,"Kansas City","E 110th St and Sycamore Terrace",0,1,N/A
"April 3, 2018",Texas,Houston,"7401 Cullen Blvd",0,2,N/A
"April 3, 2018",Kansas,Wichita,"2800 block of E Harry St",0,2,N/A
"April 2, 2018",Mississippi,Jackson,"Elton Road",0,1,N/A
"April 2, 2018",Illinois,Chicago,"4000 block of W Congress Pkwy",0,2,N/A
"April 2, 2018",Tennessee,Hermitage,"4716 Trenton Dr",0,1,N/A
"April 2, 2018","New Mexico",Albuquerque,"9000 Zuni Rd SE",1,0,N/A
"April 2, 2018",California,Oakland,"1100 block of 23rd Ave",1,1,N/A
"April 1, 2018",Pennsylvania,"Montoursville (Bella Vista)","8th St and South St",1,0,N/A
"April 1, 2018",California,Victorville,"16100 block of Tawney Ridge Ln",0,2,N/A
"April 1, 2018",Michigan,Detroit,"Schoenherr St and Lappin St",0,2,N/A
"April 1, 2018",Alabama,Mobile,"3556 Halls Mill Rd",1,4,N/A
"April 1, 2018",Florida,"Saint Augustine","N McLaughlin St",0,3,N/A
"April 1, 2018",Louisiana,Opelousas,"4932 I-49 Frontage Rd",0,2,N/A
"April 1, 2018",Pennsylvania,Philadelphia,"57th St and Vine St",0,1,N/A
"April 1, 2018","New York",Buffalo,N/A,0,1,N/A
"March 31, 2018",Ohio,Cleveland,"E 103rd St and Aetna Rd",0,2,N/A
"March 31, 2018",Pennsylvania,Duquesne,"400 block of Hamilton Ave",1,0,N/A
"March 30, 2018",Pennsylvania,Croydon,"Sycamore Ave",1,1,N/A
"March 30, 2018",Mississippi,Meridian,"107 71st Pl",1,0,N/A
"March 30, 2018",California,"Montgomery Creek","Hwy 299 and Big Bend Rd",0,1,N/A
"March 30, 2018",Michigan,Flint,"3200 block of S Dort Hwy",1,0,N/A
"March 30, 2018",Nevada,Henderson,"4036 E Sunset Rd",1,2,N/A
"March 30, 2018","District of Columbia",Washington,"5900 block of 13th St NW",0,1,N/A
"March 29, 2018",Illinois,"East Saint Louis","450 N 6th St",0,1,N/A
"March 29, 2018",Tennessee,Memphis,"1127 Springdale",1,0,N/A
"March 28, 2018",Washington,"Seattle (Burien)","Ambaum Blvd SW and SW 139th St",2,0,N/A
"March 28, 2018",Indiana,"Terre Haute","Golf Bag Ln",1,0,N/A
"March 28, 2018",Indiana,"East Chicago","4800 block of Northcote Ave",0,1,N/A
"March 27, 2018","North Carolina",Charlotte,"1700 Block of Eastcrest Dr",0,1,N/A
"March 27, 2018","New Mexico",Albuquerque,N/A,0,1,N/A
"March 27, 2018",California,Oxnard,"2710 El Dorado Ave",0,2,N/A
"March 27, 2018","South Carolina",Clio,"Woods Ave",0,1,N/A
"March 27, 2018",Missouri,"Saint Louis","5100 block of Kensington Ave",0,1,N/A
"March 27, 2018",Florida,"West Palm Beach","700 block of 43rd St",0,1,N/A
"March 27, 2018",Mississippi,Cleveland,"Wade Grove and Church Street",0,1,N/A
"March 26, 2018",Illinois,Chicago,"9400 block of S Yale Ave",0,1,N/A
"March 26, 2018",Illinois,Chicago,"2500 block of E 79th St",0,3,N/A
"March 26, 2018","North Carolina",Greensboro,"4411 Baker Ave",1,0,N/A
"March 25, 2018",Kentucky,Lexington,"900 block of Whitney Ave",0,1,N/A
"March 25, 2018",Kansas,Wichita,"800 block of S Pershing St",1,0,N/A
"March 25, 2018",Illinois,Chicago,"1700 block of N Western Ave",0,1,N/A
"March 25, 2018",Illinois,Chicago,"5700 S Mozart St",0,1,N/A
"March 25, 2018",Pennsylvania,Johnstown,"200 block of Boyer St",0,1,N/A
"March 25, 2018",Indiana,Syracuse,"108 E Haiden Dr",0,1,N/A
"March 25, 2018",Georgia,Brunswick,"104 Eagles Point Dr",1,0,N/A
"March 25, 2018",Alabama,Tuscaloosa,"3200 block of 23rd St",0,1,N/A
"March 25, 2018",Minnesota,Minneapolis,"2400 block of Ogema Pl",1,1,N/A
"March 25, 2018",Florida,Titusville,"Booker St and 3rd Ave",1,0,N/A
"March 24, 2018",Utah,"Salt Lake City (West Valley City)","3180 South 5600 West",0,4,N/A
"March 24, 2018",Illinois,Chicago,"800 block of Lawndale Ave",0,1,N/A
"March 24, 2018",Georgia,Brunswick,"219 Mall Blvd",0,1,N/A
"March 24, 2018",Maryland,Baltimore,"3300 block of W Baltimore St",0,1,N/A
"March 24, 2018",Mississippi,Louisville,"Mt Moriah Cir",1,0,N/A
"March 24, 2018",Indiana,"South Bend","N Olive St and Elwood Ave",0,1,N/A
"March 24, 2018",Florida,"Daytona Beach","609 Jean St",1,2,N/A
"March 24, 2018",Minnesota,"Inver Grove Heights","5567 Bishop Ave",1,1,N/A
"March 24, 2018",Florida,Orlando,"Stardust Ln",1,0,N/A
"March 24, 2018",Pennsylvania,Philadelphia,"Horrocks St and Haworth St",0,1,N/A
"March 24, 2018",Maryland,Baltimore,"Edmondson Ave and Allendale St",0,2,N/A
"March 23, 2018","North Carolina",Raleigh,"201 Lightner Ln",0,1,N/A
"March 23, 2018",Tennessee,Memphis,"5000 block of Brekenwood Drive",0,2,N/A
"March 23, 2018","New York","Canton (Pierrepont)",N/A,0,1,N/A
"March 22, 2018",California,Bakersfield,"1100 block of Webster St",0,1,N/A
"March 22, 2018",Michigan,Clawson,"1000 block of Coolidge Ave",0,1,N/A
"March 22, 2018",Ohio,Youngstown,"700 block of Sherwood Ave",1,0,N/A
"March 22, 2018",Arizona,Kingman,"3800 block of N Willow Rd",0,1,N/A
"March 21, 2018",California,"San Francisco","949 Geneva Ave",1,5,N/A
"March 21, 2018",Missouri,"Saint Louis","1200 block of Scott Ave",0,1,N/A
"March 21, 2018","New York",Buffalo,"Norway Park and Dodge St",1,0,N/A
"March 21, 2018",Illinois,Chicago,"8000 block of S Halsted St",0,1,N/A
"March 21, 2018",California,Stockton,"Montauban Ave",0,1,N/A
"March 20, 2018",Florida,Miami,"NW 5th Ave and NW 7th St",0,2,N/A
"March 20, 2018",Maryland,"Great Mills","21130 Great Mills Rd",2,1,N/A
"March 20, 2018",Utah,"Salt Lake City (West Valley City)","4369 S 5710 W",0,1,N/A
"March 20, 2018",Pennsylvania,Pittsburgh,"700 block of Princeton Blvd",0,1,N/A
"March 20, 2018",Florida,"Boca Raton","500 NE Spanish River Blvd",0,1,N/A
"March 20, 2018",Maryland,Baltimore,"2500 block of Emerson St",0,1,N/A
"March 20, 2018","New Mexico",Albuquerque,"Gun Club Rd and Kirk Ln",1,0,N/A
"March 19, 2018",Indiana,Indianapolis,"4100 block of N Riley Ave",0,1,N/A
"March 19, 2018",Illinois,Taylorville,"500 block of S Walnut St",1,3,N/A
"March 19, 2018",Tennessee,Memphis,"Lamar Ave",0,1,N/A
"March 19, 2018",Ohio,Cincinnati,"Reading Rd and McGregor Ave",0,2,N/A
"March 19, 2018",Mississippi,Jackson,"3500 block of Exchange Dr",0,2,N/A
"March 18, 2018",Georgia,Athens,"155 Hickman Dr",0,2,N/A
"March 18, 2018",Ohio,Norwalk,"Woodlawn Ave",0,1,N/A
"March 18, 2018",Louisiana,Lafayette,"100 block of Wilbourn Boulevard",0,1,N/A
"March 18, 2018",Colorado,Denver,"3700 block of N Fillmore St",0,1,N/A
"March 18, 2018",Ohio,Cleveland,"2500 block of E 35th St",0,2,N/A
"March 18, 2018",Georgia,Macon,"5411 Houston Rd",0,1,N/A
"March 18, 2018","South Carolina",Columbia,"200 block of Berryhill Rd",1,1,N/A
"March 18, 2018",Ohio,Columbus,"2300 block of Vendome Dr",0,1,N/A
"March 17, 2018",Mississippi,"Monroe (county)",N/A,1,0,N/A
"March 17, 2018",Illinois,Oreana,"200 block of S View St",0,2,N/A
"March 17, 2018",Oklahoma,Altus,"500 block of Sleepy Hollow St",0,1,N/A
"March 17, 2018",Missouri,"Saint Louis","5000 block of Beacon Ave",0,1,N/A
"March 17, 2018",Colorado,Denver,"3500 block of W Colfax Ave",1,0,N/A
"March 17, 2018",Louisiana,"New Orleans","2300 block of Second Street",0,1,N/A
"March 16, 2018",California,Fresno,"1000 block of E Sampson Ave",0,1,N/A
"March 16, 2018",Tennessee,Nashville,"40th Ave N and Clifton St",0,1,N/A
"March 16, 2018",Illinois,Chicago,"5000 block of N Albany Ave",0,1,N/A
"March 15, 2018",Virginia,"Newport News","100 block of Jefferson Point Ln",0,2,N/A
"March 15, 2018",Alabama,Huntsville,"1901 Sparkman Dr NW",1,1,N/A
"March 15, 2018",Virginia,Hampton,"76th St and Mytilene Dr",0,1,N/A
"March 15, 2018",Ohio,"Cincinnati (Forest Park)","1000 block of Hamlet Dr",0,2,N/A
"March 15, 2018",Ohio,Canton,"1700 block of 15th St SW",0,3,N/A
"March 14, 2018",Louisiana,"Baton Rouge","Arizona Street",0,1,N/A
"March 14, 2018","New York",Brooklyn,"345 Thatford Ave",4,0,N/A
"March 14, 2018",Pennsylvania,Chester,"700 block of Lamokin St",0,1,N/A
"March 14, 2018",Texas,"San Antonio","100 block of Denver Blvd",1,0,N/A
"March 13, 2018",Ohio,Cincinnati,"200 block of Strader Avenue",0,1,N/A
"March 13, 2018",Missouri,"Saint Louis","4300 block of Cote Brilliante Ave",0,1,N/A
"March 13, 2018",Virginia,"Hampton (Langley AFB)","1798 First St",0,1,N/A
"March 13, 2018",California,Seaside,"2200 Noche Buena St",0,1,N/A
"March 13, 2018",Texas,Irving,"4600 W Pioneer Dr",0,1,N/A
"March 13, 2018",Maryland,Baltimore,"North Ave and Broadway",0,1,N/A
"March 12, 2018",Kentucky,Shelbyville,"511 Hunting Hills Drive",2,0,N/A
"March 12, 2018",Texas,Beaumont,"1300 block of Loop Rd",0,1,N/A
"March 12, 2018",Texas,"El Paso","5200 block of Wren Ave",1,0,N/A
"March 12, 2018",Alabama,Montgomery,"3500 block of Wilmington Road",0,1,N/A
"March 12, 2018",Michigan,Midland,"2019 E Ashman St",1,0,N/A
"March 12, 2018",Maryland,Baltimore,"100 block of Allendale St",0,3,N/A
"March 12, 2018",Illinois,Chicago,"5700 block of W Irving Park Rd",0,1,N/A
"March 12, 2018",Alabama,Birmingham,"3500 block of Wilmington Rd",0,1,N/A
"March 12, 2018",Ohio,Cleveland,"E 37th St and Capers Ave",0,2,N/A
"March 11, 2018",Tennessee,Antioch,"1104 Hickory Hollow Terr",0,2,N/A
"March 11, 2018",Indiana,"South Bend","800 block of E Dayton St",0,6,N/A
"March 11, 2018",Michigan,Detroit,"LaSalle and Glendale",0,1,N/A
"March 11, 2018",Georgia,Atlanta,"7000 block of Absinth Dr",0,1,N/A
"March 11, 2018",Texas,Houston,"3400 block of Liberty Rd",0,2,N/A
"March 10, 2018",Washington,Seattle,"3804 E Superior St",0,1,N/A
"March 10, 2018",Michigan,Mancelona,"Mancelona E Jordan Rd and Green River Rd",1,1,N/A
"March 10, 2018",Louisiana,"Port Sulphur","Giraud Street",0,3,N/A
"March 10, 2018",Alabama,Ozark,"King Street",0,2,N/A
"March 10, 2018","North Carolina",Henderson,"Pinkston Street",1,0,N/A
"March 9, 2018",California,Bakersfield,"1200 block of E 10th St",1,2,N/A
"March 9, 2018",California,"San Diego","800 block of S 29th St",0,1,N/A
"March 9, 2018",Kentucky,Lexington,"2000 Winchester Rd",0,1,N/A
"March 9, 2018",Illinois,Chicago,"4400 block of W Carroll Ave",0,1,N/A
"March 9, 2018",Illinois,Chicago,"7200 block of S Merrill Ave",0,1,N/A
"March 9, 2018",Illinois,Chicago,"5200 block of N Winthrop Ave",0,1,N/A
"March 9, 2018",Tennessee,Portland,"Sumner Dr",0,1,N/A
"March 8, 2018",Michigan,Inkster,"572 Tobin Dr",0,1,N/A
"March 8, 2018",Georgia,"Atlanta (College Park)","6300 Block of Topaz Trail",0,1,N/A
"March 8, 2018","New York",Bronx,"427 E 146th St",0,1,N/A
"March 8, 2018",Illinois,Rockford,"600 block of Fisher Ave",0,1,N/A
"March 8, 2018",Virginia,Fredericksburg,"Tangible Ct",1,0,N/A
"March 8, 2018","New York",Rochester,"8th St",0,2,N/A
"March 8, 2018",Illinois,Chicago,"800 block of N Waller Ave",1,0,N/A
"March 8, 2018",Oklahoma,Tulsa,"2496 N Marion Ave",1,0,N/A
"March 7, 2018",California,"San Jose","3000 block of Cadillac Dr",0,1,N/A
"March 7, 2018",Virginia,Richmond,"1900 block of Raven St",1,1,N/A
"March 7, 2018",Alabama,Birmingham,"950 Springville Rd",1,2,N/A
"March 7, 2018",California,"Moreno Valley","23577 Sunnymead Ranch Pkwy",2,0,N/A
"March 7, 2018",California,"Santa Cruz","2000 block of Soquel Ave",0,2,N/A
"March 6, 2018",California,Fairfield,"Clay Bank Rd and Sprig Ct",0,1,N/A
"March 6, 2018",Arizona,Glendale,"47th Ave and Maryland Ave",0,1,N/A
"March 6, 2018",Missouri,"Kansas City","1600 block of E 80th Street",1,1,N/A
"March 6, 2018",Illinois,Chicago,"1000 N Pulaski Rd",1,0,N/A
"March 6, 2018",Illinois,Harvey,"148th Ave and Turlington St",0,3,N/A
"March 6, 2018",Georgia,Columbus,"2000 Cusseta Rd",0,1,N/A
"March 5, 2018",Missouri,Cadet,"10047 Diamond Rd",1,0,N/A
"March 5, 2018",Florida,Kissimmee,"2507 N Beaumont Ave",2,0,N/A
"March 5, 2018",Ohio,Columbus,"2800 block of Falcon Bridge Dr",0,2,N/A
"March 5, 2018",Pennsylvania,Philadelphia,"2900 block of N 5th St",0,2,N/A
"March 5, 2018",Colorado,Aurora,"15500 block of E 13th Ave",0,1,N/A
"March 5, 2018",Kentucky,Louisville,"Candace Way and Cogan Boulevard",1,1,N/A
"March 4, 2018",Oklahoma,"Oklahoma City","N Kelley Ave and NE 36th St",0,2,N/A
"March 4, 2018","North Carolina",Durham,"2800 block of Courtney Creek Blvd",1,0,N/A
"March 4, 2018",Illinois,Chicago,"4900 W Rice St",0,3,N/A
