"Incident.Date","State","City.Or.County","Address","X..Killed","X..Injured","Operations","lon","lat"
"February 16, 2018","Ohio","Akron","900 block of Mercer Ave",1,0,"N/A",-81.5573931,41.0790917
"February 14, 2018","Georgia","Savannah","Sunset Blvd and April St",1,1,"N/A",-81.0618524,32.0320234
"February 13, 2018","Missouri","Kansas City (Raytown)","6307 Ash Ave",0,1,"N/A",-87.2616579,41.6081493
"February 12, 2018","Alabama","Birmingham","5001 Sugar Ray Dr",0,2,"N/A",-86.9286252,33.4456321
"February 11, 2018","Ohio","Cleveland","6800 block of Guthrie Ave",0,1,"N/A",-81.7322717,41.4768512
"February 10, 2018","Missouri","Barnhart","7218 Valley Dr",2,0,"N/A",-92.3591724,34.6623802
"February 10, 2018","Georgia","Atlanta","Cedar Avenue",0,1,"N/A",-75.2309625,39.9509736
"February 8, 2018","Florida","Jacksonville","2000 block of Lewis St",0,2,"N/A",NA,NA
"February 8, 2018","Alabama","Talladega","N/A",1,0,"N/A",NA,NA
"February 6, 2018","Indiana","Fort Wayne","1900 Pontiac St",0,3,"N/A",-120.8696089,37.7620432
"February 5, 2018","Texas","Mabank","Albany Dr",0,1,"N/A",-76.4266883,37.0351798
"February 5, 2018","Kansas","Girard","130th St",0,1,"N/A",-73.8135678,40.6849888
"February 3, 2018","South Carolina","Dillon","Lester Rd",1,2,"N/A",-84.4323515,39.1740764
"February 2, 2018","Missouri","Saint Louis","6200 block of Kinsey Pl",3,0,"N/A",NA,NA
"February 1, 2018","South Carolina","Sumter","800 block of Broad St",0,1,"N/A",-74.062072,40.3258264
"January 31, 2018","Illinois","Chicago","10300 S Ave N",0,1,"N/A",-85.0939323,42.1449949
"January 29, 2018","Missouri","Poplar Bluff","Hwy JJ",1,0,"N/A",-90.4743239,38.023512
"January 29, 2018","Nevada","Carson City","3400 block of Airport Rd",0,1,"N/A",NA,NA
"January 29, 2018","Indiana","South Bend","1800 block of Chapin St",0,1,"N/A",-122.2678312,37.7770549
"January 29, 2018","California","Los Angeles","10400 block of Avalon Blvd",0,1,"N/A",NA,NA
"January 28, 2018","Texas","Houston","1400 block of W Gulf Bank Rd",1,0,"N/A",NA,NA
"January 28, 2018","New Jersey","Jersey City","57 Dales Ave",0,1,"N/A",NA,NA
"January 28, 2018","Tennessee","Madison","Sarver St",0,1,"N/A",NA,NA
"January 27, 2018","Texas","Texas City","Lynn Cir and 29th St",1,0,"N/A",-94.937226,29.3931946
"January 26, 2018","Florida","Marianna","Townhouse Rd",1,0,"N/A",NA,NA
"January 25, 2018","Missouri","Grain Valley","900 block of NW Dogwood Dr",0,1,"N/A",NA,NA
"January 25, 2018","Utah","Vernal","N/A",0,1,"N/A",-75.1975343,40.9869366
"January 25, 2018","Georgia","Byromville","Church Ave and Hill Street",3,1,"N/A",NA,NA
"January 25, 2018","Wisconsin","Livingston","W Co Rd E",0,1,"N/A",NA,NA
"January 24, 2018","Georgia","Atlanta","2543 Susan Lane",0,1,"N/A",NA,NA
"January 24, 2018","Arkansas","Warren","S Martin St",0,1,"N/A",NA,NA
"January 24, 2018","Texas","Fort Worth","3900 block of Lawnwood St",1,0,"N/A",NA,NA
"January 23, 2018","Colorado","Colorado Springs","1145 Bell Tower Heights",0,1,"N/A",NA,NA
"January 21, 2018","Florida","Orlando","3101 Willow Bend Blvd",0,4,"N/A",NA,NA
"January 20, 2018","Illinois","Chicago","2000 N Laramie Ave",0,2,"N/A",NA,NA
"January 20, 2018","California","Compton","2876 W Alondra Blvd",1,0,"N/A",-118.2598344,33.8857877
"January 20, 2018","Ohio","Lorain","Larkmoor Ave and Missouri Ave",0,2,"N/A",NA,NA
"January 20, 2018","Missouri","Kansas City","Emmanuel Cleaver II Blvd and US 71",1,0,"N/A",NA,NA
"January 20, 2018","Pennsylvania","Pittsburgh (Homewood)","7000 block of Hermitage St",0,1,"N/A",NA,NA
"January 20, 2018","Florida","Webster","N/A",0,1,"N/A",-75.1975343,40.9869366
"January 19, 2018","Arkansas","North Little Rock","5900 McCain Park Pl",1,1,"N/A",-92.1978626,34.7882663
"January 17, 2018","Michigan","Grand Rapids","Montgomery St SE",2,0,"N/A",-84.3396265,33.7520469
"January 17, 2018","Missouri","Springfield","2400 Block of W Alta St",0,1,"N/A",NA,NA
"January 15, 2018","Florida","Alachua","14223 NW 156th Pl",0,5,"N/A",-82.4971302,29.7984938
"January 15, 2018","Arizona","Phoenix","N 19th Ave and W Cactus Rd",0,1,"N/A",-112.0996066,33.596559
"January 14, 2018","California","Stockton","Country Club Blvd",0,1,"N/A",-81.7702856,30.1827218
"January 14, 2018","North Carolina","Charlotte","2000 Block of Cairns Mill Ct",0,1,"N/A",NA,NA
"January 14, 2018","Missouri","Saint Louis","Sidney St and California Ave",0,1,"N/A",-90.2274178,38.6063576
"January 13, 2018","Texas","San Antonio","W Travis St and NW 25th St",0,2,"N/A",-98.543642,29.431452
"January 12, 2018","Virginia","Newport News","13200 block of Aqueduct Dr",0,1,"N/A",-76.5170062,37.1154057
"January 12, 2018","North Carolina","Durham","3804 N Duke St",0,1,"N/A",NA,NA
"January 12, 2018","Tennessee","Nashville","2614 Jenkins Ct",3,2,"N/A",-86.8204455,36.1820035
"January 11, 2018","Illinois","Rockford","800 Concord Ave",0,1,"N/A",-82.6545473,34.5383597
"January 10, 2018","Louisiana","Monroe (Richwood)","Highland Road",0,1,"N/A",-91.1164243,30.3647016
"January 10, 2018","Missouri","Saint Louis","10400 block of Count Dr",0,1,"N/A",-90.2484915,38.7595218
"January 9, 2018","North Carolina","Statesville","Caldwell St",0,3,"N/A",-83.0471429,42.4372004
"January 8, 2018","Texas","Galveston","5222 Seawall Blvd",4,0,"N/A",NA,NA
"January 8, 2018","Louisiana","Shreveport","2619 Merwin Street",0,1,"N/A",-93.7785188,32.4771642
"January 7, 2018","Florida","Marianna","FL 73",0,1,"N/A",-85.1979085,30.5161056
"January 6, 2018","Alabama","Gadsden","1000 Rainbow Drive",0,2,"N/A",-86.0039649,33.9973946
"January 5, 2018","California","Santa Clarita","28800 block of Startree Ln",4,0,"N/A",-118.5330191,34.4737623
"January 4, 2018","Missouri","Kansas City","300 block of E 6th Terrace",0,1,"N/A",NA,NA
"January 4, 2018","Illinois","Maywood","500 W Lake St",1,3,"N/A",-87.839547,41.8895472
"January 4, 2018","Louisiana","Baton Rouge","900 Block of N 31st St",0,1,"N/A",-97.354054,31.110586
"January 2, 2018","Pennsylvania","Orwigsburg","214 E Market St",0,1,"N/A",NA,NA
"January 1, 2018","North Carolina","Charlotte","2305 Farmer St",0,2,"N/A",-80.8949119,35.2091955
"January 1, 2018","California","Los Angeles","Baring Cross and W 88th St",0,1,"N/A",-118.2893598,33.9579518
"January 1, 2018","California","Los Angeles","105th St and Denker Ave",0,3,"N/A",-118.3046853,33.9409402
"January 1, 2018","Alabama","Bessemer (Concord)","6400 block of William Dr",1,0,"N/A",-92.3963336,42.4434282
"January 1, 2018","Michigan","Flint","5501 Granville Ave",1,0,"N/A",-83.7127117,43.0635697
